ProductionOrder,OrderDate,FinishedItem,FinishedItemName,ProductionUOM,PlannedQtyFinished,TotalProductionCost,ProducedQty,TotalWasteCost,UnitProductionCost
26001569,7/15/2026,1011123,الفاخرة طحينية  900 غ 1*12,حبة,600,517,600,0,0.861666667
26001570,7/16/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,3997,2873.39,3997,67.379707,0.718886665
26001571,7/16/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,2334,2053.224,2334,0,0.879701799
26001572,7/16/2026,1171029,حلاوة بلك رشة شيخ الكار,kg,435,380.961,435,0,0.875772414
26001573,7/16/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,454,439.191,454,7.937553,0.967381057
26001574,7/16/2026,1021038,شيخ الكار حلاوة 700 غم شوكولاته 1*12,حبة,768,558.164,768,0,0.726776042
26001575,7/16/2026,1021053,شيخ الكار حلاوة 3 كغم شوكولاته 1*6,حبة,1,2.969,1,0,2.969
26001576,7/16/2026,1171026,حلاوة بلك شوكولاته شيخ الكار,kg,978,825.712,978,0,0.844286299
26001577,7/16/2026,1021043,شيخ الكار حلاوة 300 غم رشة فستق 1*12,حبة,1692,582.683,1692,0,0.344375296
26001578,7/16/2026,1021063,شيخ الكار حلاوة 2300 غم فستق 1*4,حبة,217,504.348,217,0,2.324184332
26001579,7/16/2026,1021050,شيخ الكار حلاوة 800 غم سادة 1*12,حبة,960,725.392,960,0,0.755616667
26001580,7/16/2026,1021138,الموسم حلاوة 800 غم سادة دمعة 1*12,حبة,960,925.504,960,0,0.964066667
26001581,7/16/2026,1021038,شيخ الكار حلاوة 700 غم شوكولاته 1*12,حبة,761,552.995,761,0,0.726668857
26001582,7/16/2026,1021060,شيخ الكار حلاوة 1300 غم فستق 1*6,حبة,749,1139.5,749,0,1.521361816
26001583,7/16/2026,1011035,شيخ الكار طحينية 18 كغم سطل 1*1,تنكة,576,11235.456,576,0,19.506
26001584,7/19/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,2199,2176.456,2199,87.622744,0.989748067
26001585,7/19/2026,1021137,الموسم حلاوة 800 غم فستق دمعة 1*12,حبة,196,0,196,0,0
26001586,7/19/2026,1171028,حلاوة بلك فستق ميار,kg,778,869.248,778,0,1.117285347
