G/L Acct/BP Code,Name,Local Currency - Jordanian Dinar - OB,Local Currency - Jordanian Dinar - Debit,Local Currency - Jordanian Dinar - Credit,Local Currency - Jordanian Dinar - Balance
2020102001,امانات ضريبة الدخل,,121742.732,103192.732,18550
2020102002,مخصص ضريبة ا لدخل,,8052,16104,-8052
,,__________________,__________________,__________________,__________________
Total 2020102,امانات ضريبة الدخل,,129794.732,119296.732,10498
,,,,,
2020103,امانات الضمان الاجتماعي,,,,
,,,,,
2020103001,امانات الضمان الاجتماعي,,60902.41,59429.068,1473.342
,,__________________,__________________,__________________,__________________
Total 2020103,امانات الضمان الاجتماعي,,60902.41,59429.068,1473.342
,,,,,
2020104,أمانات المساهمة الوطنية,,,,
,,,,,
2020104001,أمانات المساهمة الوطنية,,1034.08,1034.48,-0.4
,,__________________,__________________,__________________,__________________
Total 2020104,أمانات المساهمة الوطنية,,1034.08,1034.48,-0.4
,,,,,
,,__________________,__________________,__________________,__________________
Total 20201,الامانات,,896337.359,877220.592,19116.767
,,,,,
20202,مخصص ديون مشكوك في تحصيلها,,,,
,,,,,
2020201,مخصص ديون مشكوك في تحصيلها,,,,
,,,,,
2020201001,مخصص ديون مشكوك في تحصيلها,,57535,69042,-11507
,,__________________,__________________,__________________,__________________
Total 2020201,مخصص ديون مشكوك في تحصيلها,,57535,69042,-11507
,,__________________,__________________,__________________,__________________
Total 20202,مخصص ديون مشكوك في تحصيلها,,57535,69042,-11507
,,__________________,__________________,__________________,__________________
Total 202,المطلوبات الاخرى,,953872.359,946262.592,7609.767
,,__________________,__________________,__________________,__________________
Total Liabilities,,-153367.519,55636124.9,62532353.46,-7049596.076
,,,,,
Capital and Reserves,,,,,
,,,,,
301,رأس المال وحقوق الشركاء,,,,
,,,,,
30101,راس المال,,,,
,,,,,
3010101,راس المال,,,,
,,,,,
3010101001,راس المال,,3500000,4200000,-700000
,,__________________,__________________,__________________,__________________
Total 3010101,راس المال,,3500000,4200000,-700000
,,,,,
,,__________________,__________________,__________________,__________________
Total 30101,راس المال,,3500000,4200000,-700000
,,,,,
30102,ارباح مدوره,,,,
,,,,,
3010102,ارباح ( خسائر ) مدوره,,,,
,,,,,
3010102001,ارباح ( خسائر) مدورة,,972235,1198487,-226252
3010102003,ألارصدة الافتتاحية,-1154673.786,83318526.98,82162634.02,1219.174
3010102004,Period End Closing,,4519213.608,4519213.618,-0.01
,,__________________,__________________,__________________,__________________
Total 3010102,ارباح ( خسائر ) مدوره,-1154673.786,88809975.58,87880334.63,-225032.836
,,,,,
,,__________________,__________________,__________________,__________________
Total 30102,ارباح مدوره,-1154673.786,88809975.58,87880334.63,-225032.836
,,,,,
30103,حقوق الشركاء,,,,
,,,,,
3010301,ذمم الشركاء,,,,
,,,,,
3010301001,ذمة الشريك بهاء الدين البستنجي,,331854.006,342374.554,-10520.548
3010301002,ذمة ا لشريك حسا م ا لبستنجي,,14721.3,17665.56,-2944.26
3010301003,ذمة ا لشريك سها م فقوسة,,197311.2,236773.44,-39462.24
,,__________________,__________________,__________________,__________________
Total 3010301,ذمم الشركاء,,543886.506,596813.554,-52927.048
,,__________________,__________________,__________________,__________________
Total 30103,حقوق الشركاء,,543886.506,596813.554,-52927.048
,,__________________,__________________,__________________,__________________
Total 301,رأس المال وحقوق الشركاء,-1154673.786,92853862.09,92677148.19,-977959.884
,,__________________,__________________,__________________,__________________
Total Capital and Reserves,,-1154673.786,92853862.09,92677148.19,-977959.884
,,,,,
Turnover,,,,,
,,,,,
401,المبيعات,,,,
,,,,,
40101,المبيعات,,,,
,,,,,
4010101,المبيعات المحلية,,,,
,,,,,
4010101001,المبيعات المحلية,,21509.86,3824524.202,-3803014.342
4010101002,المبيعات خارجية,,,59602.302,-59602.302
4040101003,ايرادات أخرى,,155573.296,171772.5,-16199.204
,,__________________,__________________,__________________,__________________
Total 4010101,المبيعات المحلية,,177083.156,4055899.004,-3878815.848
,,,,,
,,__________________,__________________,__________________,__________________
Total 40101,المبيعات,,177083.156,4055899.004,-3878815.848
,,,,,
40102,مردود المبيعات,,,,
,,,,,
4010201,مردود  المبيعات,,,,
,,,,,
4010201001,مردودات المبيعات ومسموحاته,,305957.133,2687.035,303270.098
,,__________________,__________________,__________________,__________________
Total 4010201,مردود  المبيعات,,305957.133,2687.035,303270.098
,,__________________,__________________,__________________,__________________
Total 40102,مردود المبيعات,,305957.133,2687.035,303270.098
,,__________________,__________________,__________________,__________________
Total 401,المبيعات,,483040.289,4058586.039,-3575545.75
,,__________________,__________________,__________________,__________________
Total Turnover,,,483040.289,4058586.039,-3575545.75
,,,,,
Cost of Sales,,,,,
,,,,,
501,تكلفة المبيعات,,,,
,,,,,
50101,تكلفة المبيعات,,,,
,,,,,
5010101,تكلفة المبيعات,,,,
,,,,,
5010101001,تكلفة المبيعات,,4973282.415,1597181.361,3376101.054
,,__________________,__________________,__________________,__________________
Total 5010101,تكلفة المبيعات,,4973282.415,1597181.361,3376101.054
,,,,,
,,__________________,__________________,__________________,__________________
Total 50101,تكلفة المبيعات,,4973282.415,1597181.361,3376101.054
,,,,,
50102,تكاليف أخرى,,,,
,,,,,
5010102,تكاليف أخرى,,,,
,,,,,
5010102001,فروقات اسعار الشراء,,6602.552,8778.553,-2176.001
5010102002,فروقات جرد المخزون ربح/ خسارة,,1200428.881,1173781.093,26647.788
,,__________________,__________________,__________________,__________________
Total 5010102,تكاليف أخرى,,1207031.433,1182559.646,24471.787
,,__________________,__________________,__________________,__________________
Total 50102,تكاليف أخرى,,1207031.433,1182559.646,24471.787
,,__________________,__________________,__________________,__________________
Total 501,تكلفة المبيعات,,6180313.848,2779741.007,3400572.841
,,__________________,__________________,__________________,__________________
Total Cost of Sales,,,6180313.848,2779741.007,3400572.841
,,,,,
Operating Costs,,,,,
,,,,,
601,المصاريف الادارية والعمومية,,,,
,,,,,
60101,المصاريف الادارية والعمومية,,,,
,,,,,
6010101,المصاريف الادارية والعمومية,,,,
,,,,,
6010101001,مصاريف ورواتب وأجور- الادارة,,87659.484,48375.68,39283.804
6010101002,مصاريف الضمان الاجتماعي - الادراة,,12632.933,8091.88,4541.053
6010101003,مصاريف النظافة,,1793.607,,1793.607
6010101004,مصاريف ضيافة,,1435.569,134.55,1301.019
6010101006,مصاريف كهرباء,,763.742,,763.742
6010101007,مصاريف مياه,,61.85,,61.85
6010101008,مصاريف أتعاب مهنية,,5215,,5215
6010101009,مصاريف متفرقة,,8177.464,894.521,7282.943
6010101010,مصاريف تأمين,,3289.86,,3289.86
6010101012,مصاريف لوازم مستهلكة,,13378.394,2103.554,11274.84
6010101013,مصاريف أيجارات,,815,,815
6010101014,مصاريف طعام موظفين,,109.2,34.5,74.7
6010101015,مصاريف غير قابله للخصم,,8,8,
6010101016,مصاريف لوازم كمبيوتر,,64.655,,64.655
6010101017,مصاريف عينات,,989.594,,989.594
6010101018,مصاريف قرطاسية ومطبوعات,,1406.904,537.25,869.654
6010101019,مصاريف رسوم ورخص وأشتراكات,,3735.55,,3735.55
6010101020,مصاريف حكومية,,20609.499,202.3,20407.199
6010101021,مصاريف عمولات بنكية,,18231.205,1229.758,17001.447
6010101022,مصاريف عمولات زين كاش,,116.15,7.55,108.6
6010101023,مصاريف سفر واقامة وتنقلات,,9643.27,1077.05,8566.22
6010101024,مصاريف مواصلات,,14756.2,532,14224.2
6010101025,مصاريف هاتف,,2871.902,,2871.902
6010101026,مصاريف انترنت,,460.39,,460.39
6010101027,مصاريف دورات تدريبية للموظفين,,250.35,,250.35
6010101028,مصاريف رسوم شهرية واشتراكات,,1846.07,,1846.07
6010101029,مصاريف بنكية,,3187.5,,3187.5
6010101030,مصاريف ضريبية,,4872.914,,4872.914
,,__________________,__________________,__________________,__________________
